ID	Original Text	Translated Text
67	Goatee 2	Bouc 2
68	Goatee 3	Bouc 3
69	Soul Patch	Soul Patch
70	Aviator Cap	Casquette aviateur
71	Biscuit King Hat (Long)	Chapeau Biscuit King (long)
72	Biscuit King Hat (Short)	Le chapeau du roi des biscuits (court métrage)
73	Pixie 1	Pixie 1
74	Long 1	Long 1
75	Long 2	Long 2
76	Ponytail	Queue de cheval
77	Tucked	Tucked
78	Bun	Chignon
79	Wavy	Ondulé
80	Pixie 2	Pixie 2
81	Cornrows	Cornrows
82	Bob	Bob
83	CU Captains Hat (Short)	CU Captains Hat (Short)
84	WD Captains Hat (Short)	Chapeau de capitaine de DEO (court métrage)
85	CU Captains Hat (Long)	Chapeau de capitaine CU (long)
86	WD Captains Hat (Long)	Chapeau de capitaine de DEO (long)
87	FB Casual Hat	Chapeau décontracté FB
88	Biscuit Queen Hat (Long)	Chapeau Biscuit Queen (long)
89	Biscuit Queen Hat (Short)	Le chapeau de la reine des biscuits (court métrage)
90	Smooth	Lisse
91	Spiky	Spiky
92	Flared	Évasé
93	Spots 1	Points 1
94	Vertical Stripes	Rayures verticales
95	Vertical Stripes 2	Rayures verticales 2
96	Spots 2	Taches 2
97	Horizontal Stripes	Rayures horizontales
98	Horizontal Stripes 2	Rayures horizontales 2
99	Spots 3	Spots 3
100	Spiked	Aiguilles
101	Box	Boîte
102	Lightweight	Léger
103	Eye Implants (Double)	Implants oculaires (doubles)
104	Eye Implant (Right)	Implant oculaire (droit)
105	Eye Patch	Cache-œil
106	Goggles 1	Lunettes de protection 1
107	Goggles 2	Lunettes de protection 2
108	Goggles 3	Lunettes de protection 3
109	Respirator	Respirateur
110	Headplate	Plaque frontale
111	Faction Uniform	Uniforme de la faction
112	C.U. Vice Admiral	Vice-amiral de l'U.C.
113	Sylvassi Suit	Costume Sylvassi
114	Ancient Sylvassi Suit	Ancien costume de Sylvassi
115	Body Type 1	Type de carrosserie 1
116	Body Type 2	Type de carrosserie 2
117	Civilian Clothes - Robotic Arm	Vêtements civils - Bras robotique
118	Civilian Clothes - Robotic Leg	Vêtements civils - Jambe robotique
119	Civilian Clothes - Stripes	Vêtements civils - Rayures
120	Lab Coat	Blouse de laboratoire
121	Civilian Clothes - Robotic Hand + Foot	Vêtements civils - Main et pied robotisés
122	Civilian Clothes - Solid Colors	Vêtements civils - Couleurs unies
123	Civilian Clothes - Variant	Vêtements civils - Variante
124	W.D. Vice Admiral	W.D. Vice-amiral
125	Civilian Clothes - Robotic Leg + Arm	Vêtements pour civils - Jambe + bras robotisés
126	Model Z	Modèle Z
127	GX Database	Base de données GX
128	Welcome to the GX database. $$Input GX ID to access general information.	Bienvenue dans la base de données GX. $$Entrez l'ID GX pour accéder aux informations générales.
129	Type	Type
130	Starship	Starship
131	Faction	Faction
132	Colonial Union	Union coloniale
133	Service	Service
134	Military	Militaire
135	Intrepid-Class Starship	Vaisseau de classe Intrepid
136	An efficient, well-rounded starship designed for combat and exploration. $$Intrepid-class starships are frequently used by the Colonial Union for law enforcement. Additionally they can comfortably support crews for longterm expeditions. An Intrepid often has a good shield capacity and decent maneuverability.	Un vaisseau efficace et polyvalent conçu pour le combat et l'exploration. Les vaisseaux de classe $$Intrepid sont fréquemment utilisés par l'Union coloniale pour faire respecter la loi. De plus, ils peuvent accueillir confortablement des équipages pour des expéditions de longue durée. Un Intrepid dispose souvent d'un bon bouclier et d'une bonne manœuvrabilité.
137	Military, Cargo Transport	Militaire, transport de marchandises
138	Roland-Class Starship	Vaisseau de classe Roland
139	A heavy military vessel often used to bolster the security of Colonial Union outposts and sectors. $$The Roland-class starship is one of the largest models in the Colonial Union Fleet. While it can still be manned by a small crew, it is capable of heavy firepower with four autoturrets in addition to a standard complement of manned turrets. It can also transport massive amounts of cargo. Rolands are often very difficult to maneuver but have high-integrity shields.	Un vaisseau militaire lourd souvent utilisé pour renforcer la sécurité des avant-postes et des secteurs de l'Union coloniale. Le vaisseau de classe Roland est l'un des plus grands modèles de la flotte de l'Union coloniale. Bien qu'il puisse être piloté par un équipage réduit, il est capable d'une grande puissance de feu grâce à ses quatre tourelles automatiques en plus de ses tourelles habituelles. Il peut également transporter d'énormes quantités de marchandises. Les Rolands sont souvent très difficiles à manœuvrer mais possèdent des boucliers à haute intégrité.
140	Research	Recherche
141	Outrider-Class Starship	Vaisseau de classe Outrider
142	Small starship used for Colonial Union research missions.$$Outrider-class starships are not designed for extensive combat and have minimal firepower with only one main turret and one standard turret. However, Outriders are fast and very maneuverable. Each Outrider has an onboard greenhouse that can supply research materials.	Petit vaisseau utilisé pour les missions de recherche de l'Union coloniale. Les vaisseaux de classe Outriders ne sont pas conçus pour le combat intensif et disposent d'une puissance de feu minimale avec seulement une tourelle principale et une tourelle standard. Cependant, les Outriders sont rapides et très maniables. Chaque Outrider possède une serre à bord qui peut fournir des matériaux de recherche.
143	W.D. Corporation	W.D. Corporation
144	Cruiser-Class Starship	Vaisseau de classe croiseur
145	Sturdy starship designed for combat and cargo transport. $$The W.D. Corporation frequently uses Cruiser-class starships in transport convoys due to their large cargo capacities and good defenses. Cruisers often emit loud EM signatures and have poor sensors which make them vulnerable in nebulas. Cruisers are inexpensive for the W.D. Corporation to produce and are one of the most common ships in the W.D. Fleet.	Vaisseau robuste conçu pour le combat et le transport de marchandises. La W.D. Corporation utilise fréquemment des vaisseaux de classe Cruiser dans les convois de transport en raison de leur grande capacité de chargement et de leurs bonnes défenses. Les croiseurs émettent souvent de fortes signatures électromagnétiques et ont de mauvais capteurs, ce qui les rend vulnérables dans les nébuleuses. Les croiseurs sont peu coûteux à produire pour la W.D. Corporation et constituent l'un des vaisseaux les plus courants de la flotte de la W.D. Corporation.
146	Destroyer-Class Starship	Vaisseau de classe Destroyer
147	Heavily armored warship designed for security and counterattacks. $$Destroyer-class starships are equipped with exceptional high-integrity hulls with significant armor plating. Having minimal cargo space, they are designed for brief patrols and combat missions, and are inconvenient for longterm space travel. In addition to a main turret and regular turret slot, each Destroyer has two autoturrets and is capable of devastating attack power.	Vaisseau de guerre lourdement blindé conçu pour la sécurité et les contre-attaques. Les vaisseaux de classe Destroyer sont équipés d'une coque exceptionnelle à haute intégrité et d'un blindage important. Disposant d'un espace de chargement minimal, ils sont conçus pour de brèves patrouilles et missions de combat, et ne sont pas adaptés aux voyages spatiaux à long terme. En plus d'une tourelle principale et d'un emplacement pour tourelle ordinaire, chaque Destroyer possède deux autotourelles et est capable d'une puissance d'attaque dévastatrice.
148	Annihilator-Class Starship	Vaisseau de classe Annihilator
149	Experimental military vessel with a layered hull. $$Recently designed by the W.D. Corporation, Annihilator-class starships are prototypes that have layered hulls, the armor of which increases with hull damage. Annihilators are equipped with experimental ship components and are prone to system fires. Annihilator technology is not yet on the market and is being internally tested by W.D. Corporation employees.	Vaisseau militaire expérimental à coque stratifiée. Récemment conçus par la W.D. Corporation, les vaisseaux de classe Annihilator sont des prototypes à coque stratifiée, dont le blindage augmente en fonction des dommages subis par la coque. Les Annihilators sont équipés de composants expérimentaux et sont sujets à des incendies. La technologie Annihilator n'est pas encore commercialisée et fait l'objet de tests internes par les employés de la W.D. Corporation.
150	Military, Research, Transport	Militaire, Recherche, Transport
151	W.D. Corporation Flagship	Le vaisseau amiral de W.D. Corporation
152	The largest and most heavily armed warship in the W.D. Fleet. $$The W.D. Flagship took decades to design and construct, and only one exists across all intergalactic branches of the W.D. Corporation. It is rarely used in active duty and is often docked at the W.D. Capital Headquarters. On occasion it is lent to subsidiary branches of the W.D. Corporation for classified operations. Dozens of crewmen are required to manage the Flagship, and the extent of its weaponry is unknown.	Le plus grand et le plus lourdement armé des vaisseaux de guerre de la flotte de la W.D. Corporation. Il a fallu des décennies pour concevoir et construire le vaisseau amiral W.D., et il n'en existe qu'un seul dans toutes les branches intergalactiques de la W.D. Corporation. Il est rarement utilisé en service actif et est souvent amarré au siège de la capitale W.D.. A l'occasion, il est prêté aux filiales de la W.D. Corporation pour des opérations secrètes. Des dizaines d'hommes d'équipage sont nécessaires pour gérer le vaisseau amiral, et l'étendue de son armement est inconnue.
153	Civilian, Alliance of Gentlemen	Civil, Alliance des Gentlemen
154	Civilian Transport	Transport civil
155	Stargazer-Class Starship	Vaisseau de classe Stargazer
156	Luxury civilian vessel. $$Stargazers are high-end vessels designed for the comfortable transport of a wealthy traveler and small crew of starship operators. Stargazers are often targeted by raiders and hijackers due to their likelihood of transporting expensive goods, as well as their conversion potential to ships with cloaking capabilities and heavy weaponry.	Vaisseau civil de luxe. Les Stargazers sont des vaisseaux haut de gamme conçus pour le transport confortable d'un riche voyageur et d'un petit équipage d'opérateurs de vaisseaux. Les Stargazers sont souvent la cible des pilleurs et des pirates en raison de la probabilité qu'ils transportent des marchandises coûteuses, ainsi que de leur potentiel de conversion en vaisseaux dotés de capacités d'occultation et d'armement lourd.
157	Cargo Transport	Transport du fret
158	Carrier-Class Starship	Vaisseau de classe transporteur
159	Civilian cargo hauler. $$Carrier-class starships are designed for longterm cargo shipments. They are frequently used by contract crews that are hired by stations, factories, and mining bases to transport goods. Carriers are a favorite of smugglers as they can be converted to have hidden cargo rooms for sneaking contraband past Colonial Union inspection stations.	Transporteur civil de marchandises. Les vaisseaux de classe Carrier sont conçus pour le transport de marchandises à long terme. Ils sont fréquemment utilisés par des équipages contractuels engagés par des stations, des usines et des bases minières pour transporter des marchandises. Les transporteurs sont les préférés des contrebandiers, car ils peuvent être convertis en salles de chargement cachées pour faire passer la contrebande aux stations d'inspection de l'Union coloniale.
160	Old Wars Sylvassi Fleet	Old Wars Sylvassi Fleet
161	Sylvassi Swordship	L'épée Sylvassi
162	Archaic ship from the Sylvassi Fleet of the Old Wars Era. $$Sylvassi Swordships in active service have been retrofitted with modern ship systems and weaponry. Each Swordship possesses a highly efficient cloaking system as well as a powerful beam weapon referred to as a â€˜Swordâ€™. During the Old Wars, Swordships used their cloaking and beam weapons in conjunction to ambush human warships.	Vaisseau archaïque de la flotte Sylvassi de l'ère des Anciennes Guerres. $$Les vaisseaux épées Sylvassi en service actif ont été équipés de systèmes et d'armements modernes. Chaque Swordship possède un système d'occultation très efficace ainsi qu'une puissante arme à faisceau appelée Sword. Au cours de l'Ancienne Guerre, les vaisseaux épées utilisaient conjointement leur système d'occultation et leur arme à faisceau pour tendre des embuscades aux navires de guerre humains.
163	Old Wars Human Fleet	Flotte humaine des Anciennes Guerres
164	Interceptor-Class Starship	Vaisseau de classe intercepteur
165	Archaic ship from the Human Fleet of the Old Wars Era. $$Interceptor-class starships in active service have been retrofitted with modern ship systems and weaponry. Interceptors do not have shield generators, but instead have incredibly durable hulls designed to withstand significant damage and be repaired mid-battle with scrap parts.	Vaisseau archaïque de la flotte humaine de l'époque des Anciennes Guerres. Les vaisseaux de classe Interceptor en service actif ont été équipés de systèmes et d'armements modernes. Les intercepteurs n'ont pas de générateurs de boucliers, mais des coques incroyablement durables conçues pour résister à des dommages importants et être réparées en plein combat avec des pièces de récupération.
166	Civilian	Civil
167	SunCircler Nomad 5	SunCircler Nomad 5
168	Economic civilian transport ship. $$SunCircler Industriesâ€™ Nomad 5 model starship is often used by civilians for small local journeys. Nomad 5 ships are not designed for space combat and have very limited firepower with only one main turret and one standard turret for emergency defense purposes.	Vaisseau de transport civil économique. $$SunCircler Industries Le vaisseau modèle Nomad 5 est souvent utilisé par les civils pour de petits voyages locaux. Les vaisseaux Nomad 5 ne sont pas conçus pour le combat spatial et ont une puissance de feu très limitée avec seulement une tourelle principale et une tourelle standard à des fins de défense d'urgence.
169	Fluffy Biscuit Co.	Fluffy Biscuit Co.
170	Fluffy One	Fluffy One
171	Delivery ship for the Fluffy Biscuit Company. $$The Fluffy One starship is exclusively used for the delivery and sale of biscuits. Each Fluffy One has an integrated freezer to store crates of perishable products. The Fluffy One is not designed for intense combat and comes equipped with a special â€˜Biscuit Bombâ€™ which emits an electromagnetic pulse that can disable nearby enemy vessels.	Vaisseau de livraison pour la compagnie Fluffy Biscuit. Le vaisseau Fluffy One est exclusivement utilisé pour la livraison et la vente de biscuits. Chaque Fluffy One dispose d'un congélateur intégré pour stocker des caisses de produits périssables. Le Fluffy One n'est pas conçu pour les combats intenses et est équipé d'une Bombe à biscuits spéciale qui émet une impulsion électromagnétique pouvant désactiver les vaisseaux ennemis à proximité.
172	Small Starship	Petit vaisseau
173	All	Tous
174	Tracking	Suivi du site
175	Bounty Hunter Ship	Bounty Hunter Ship
176	Small ship for one passenger. $$Often used by bounty hunters due to its advanced tracking capabilities. This ship is meant to get a bounty hunter close to a target vessel, teleport onto it, and eliminate the crew from the inside. $$Bounty hunter ships are not designed for a full crew. They cannot be boarded.	Petit vaisseau pour un seul passager. Souvent utilisé par les chasseurs de primes en raison de ses capacités de repérage avancées. Ce vaisseau est destiné à permettre à un chasseur de primes de se rapprocher d'un vaisseau cible, de se téléporter à bord et d'éliminer l'équipage de l'intérieur. Les vaisseaux des chasseurs de primes ne sont pas conçus pour accueillir un équipage complet. Ils ne peuvent pas être abordés.
177	Unmanned Drone	Drone sans pilote
178	Security	Sécurité
179	Tier 3 Drone	Drone de niveau 3
180	Common drone used for patrolling or scouting low risk sectors. $$Depending on the faction by which they are employed, tier 3 drones are called CU Rangers, WD Scouts, or Bandit Clunkers. $$Drones are not operated by crewmen and do not have ship interiors. They cannot be boarded.	Drone commun utilisé pour les patrouilles ou la reconnaissance des secteurs à faible risque. Selon la faction qui les emploie, les drones de niveau 3 sont appelés CU Rangers, WD Scouts ou Bandit Clunkers. Les drones ne sont pas pilotés par des membres d'équipage et n'ont pas d'intérieur de navire. Ils ne peuvent pas être abordés.
181	Tier 2 Drone	Drone de niveau 2
182	Midrange drone with good combat capabilities. $$Depending on the faction by which they are employed, tier 2 drones are called CU Guardians, WD Warriors, or Bandit Rippers. $$Drones are not operated by crewmen and do not have ship interiors. They cannot be boarded.	Drone de milieu de gamme avec de bonnes capacités de combat. En fonction de la faction qui les emploie, les drones de niveau 2 sont appelés gardiens de l'UC, guerriers de la WD ou rippers de bandits. Les drones ne sont pas commandés par des membres d'équipage et n'ont pas d'intérieur de navire. Ils ne peuvent pas être abordés.
183	Tier 1 Drone	Drone de niveau 1
184	Superior drone that has powerful combat capabilities and can debilitate enemy ships with viruses. Often used in the security of high risk sectors. $$Depending on the faction by which they are employed, tier 1 drones are called CU Arbiters, WD Vindicators, or Bandit Marauders. $$Drones are not operated by crewmen and do not have ship interiors. They cannot be boarded.	Drone supérieur qui possède de puissantes capacités de combat et peut débiliter les vaisseaux ennemis avec des virus. Souvent utilisé pour la sécurité des secteurs à haut risque. Selon la faction qui les emploie, les drones de niveau 1 sont appelés arbitres CU, vindicateurs WD ou maraudeurs bandits. Les drones ne sont pas commandés par des membres d'équipage et n'ont pas d'intérieur de navire. Ils ne peuvent pas être abordés.
185	Maintenance	Maintenance
186	Overseer Drone	Drone de surveillance
187	Drone that can repair other drones in a sector. $$Overseer drones are used to maintain a factionâ€™s security drones and support them in combat should an intruder launch an attack. They will continue to repair their allied drones until destroyed. $$Drones are not operated by crewmen and do not have ship interiors. They cannot be boarded.	Drone qui peut réparer d'autres drones dans un secteur. $$Les drones alliés sont utilisés pour maintenir les drones de sécurité d'une faction et les soutenir au combat si un intrus lance une attaque. Ils continueront à réparer leurs drones alliés jusqu'à leur destruction. $$Drones ne sont pas exploités par des membres d'équipage et n'ont pas d'intérieur de navire. Ils ne peuvent pas être abordés.
188	Unaligned	Non aligné
189	Shock Drone	Drone de choc
190	Small spherical drone equipped with lightning turrets. $$Shock drones often have decent attack power, but they can also be used to disable ships. Shock drones are outfitted with lightning turrets, which have a small chance of shutting down enemy vessels. $$Drones are not operated by crewmen and do not have ship interiors. They cannot be boarded.	Petit drone sphérique équipé de tourelles à éclairs. Les drones de choc ont souvent une puissance d'attaque décente, mais ils peuvent aussi être utilisés pour mettre les navires hors service. Les drones de choc sont équipés de tourelles foudroyantes, qui ont une petite chance de mettre hors service les navires ennemis. Les drones ne sont pas commandés par des membres d'équipage et n'ont pas d'intérieur de navire. Ils ne peuvent pas être abordés.
191	Phase Drone	Phase Drone
192	A drone that can disappear and reappear at another position in short range. $$Phase drones are difficult to lock onto with sensors and targeting. They are outfitted with phase turrets, which are not particularly damaging to hulls but deal bonus damage to ship systems. $$Drones are not operated by crewmen and do not have ship interiors. They cannot be boarded.	Un drone qui peut disparaître et réapparaître à une autre position à courte portée. Les drones phasiques sont difficiles à verrouiller avec les capteurs et le ciblage. Ils sont équipés de tourelles phasiques, qui ne sont pas particulièrement dommageables pour les coques, mais qui infligent des dommages supplémentaires aux systèmes du navire. Les drones ne sont pas commandés par des membres d'équipage et n'ont pas d'intérieur de navire. Ils ne peuvent pas être abordés.
193	Deathseeker	Deathseeker
194	Drone with powerful frontal saws that can ram into ships and rip apart their hulls. $$Deathseekers will often take the most direct path towards an enemy ship, regardless of any other obstacles in the way. $$Drones are not operated by crewmen and do not have ship interiors. They cannot be boarded.	Drone doté de puissantes scies frontales qui peuvent s'enfoncer dans les navires et déchirer leur coque. Les chasseurs de mort empruntent souvent la voie la plus directe vers un navire ennemi, sans tenir compte des autres obstacles sur leur chemin. Les drones ne sont pas pilotés par des membres d'équipage et n'ont pas d'intérieur de navire. Ils ne peuvent pas être abordés.
195	Beacon	Balise
196	Support	Soutien
197	Broadcasting tower that emits a sector-wide signal. $$A beacon often boosts, reduces, or changes certain aspects of ship function in a sector. It will affect all nearby ships regardless of faction. $$Beacons cannot be boarded.	Tour de diffusion qui émet un signal à l'échelle du secteur. Une balise augmente, réduit ou modifie souvent certains aspects du fonctionnement des navires dans un secteur. Elle affecte tous les navires à proximité, quelle que soit leur faction. Les balises ne peuvent pas être abordées.
198	Space Hazard	Risque spatial
199	Threat Level	Niveau de menace
200	Minor	Mineur
201	Debris	Débris
202	Often asteroids or large remnants of destroyed ships or machinery. $$Pilots should use caution when flying through space debris as it is occasionally littered with mines and can be hazardous to maneuver through. Much space debris has been stripped of useful components, but it can sometimes contain salvageable scrap or research materials. Sectors filled with debris from pre-Union Era warships are sometimes referred to as â€˜graveyardsâ€™.	Souvent des astéroïdes ou de grands restes de vaisseaux ou de machines détruits. Les pilotes doivent faire preuve de prudence lorsqu'ils traversent des débris spatiaux, car ils sont parfois truffés de mines et il peut être dangereux de les traverser. La plupart des débris spatiaux ont été dépouillés de leurs composants utiles, mais ils peuvent parfois contenir des déchets récupérables ou des matériaux de recherche. Les secteurs remplis de débris de vaisseaux de guerre datant d'avant l'Union sont parfois appelés des graveyards.
203	Minefield	Champ de mines
204	Explosive devices that are triggered upon close proximity with an oncoming vessel. $$When activated by proximity to a ship, mines can inflict serious hull damage. They can be detonated from afar with beam weapons. Mines are often found among space debris, as some mining companies use mines to break up asteroids and wreckage. Scrappers also use mines to deter other ships from scavenging profitable sites.	Dispositifs explosifs qui se déclenchent à proximité d'un navire en marche. Lorsqu'elles sont activées à proximité d'un navire, les mines peuvent infliger de graves dommages à la coque. Elles peuvent être déclenchées à distance avec des armes à rayons. On trouve souvent des mines parmi les débris spatiaux, car certaines compagnies minières les utilisent pour briser les astéroïdes et les épaves. Les ferrailleurs utilisent également des mines pour dissuader les autres vaisseaux de fouiller les sites rentables.
205	Major	Major
206	The Infected	Les infectés
207	A group of organisms that grow at alarming rates. $$The Infected rapidly spread through a galaxy. Sectors occupied by the Infected are filled with an acidic substance that damages the shields and hulls of ships. The large Infected creatures, called Carriers, release pods that latch onto ship hulls and deliver small Crawlers that attack from the inside. The Colonial Union urges ships to avoid Infected sectors at all cost. $$UNION PROTOCOL: WARP IMMEDIATELY	Un groupe d'organismes qui se développent à une vitesse alarmante. Les Infectés se répandent rapidement dans une galaxie. Les secteurs occupés par les Infectés sont remplis d'une substance acide qui endommage les boucliers et les coques des vaisseaux. Les grandes créatures infectées, appelées Porteurs, libèrent des capsules qui s'accrochent aux coques des vaisseaux et libèrent de petits rampants qui attaquent de l'intérieur. L'Union Coloniale demande instamment aux vaisseaux d'éviter à tout prix les secteurs infectés. PROTOCOLE DE L'UNION : DISTORSION IMMÉDIATE
208	Black Hole	Trou noir
209	Stellar object with extreme gravity. $$The Colonial Union urges that any ship in close proximity to a black hole warp out of the sector immediately. $$UNION PROTOCOL: WARP IMMEDIATELY	Objet stellaire avec une gravité extrême. L'Union Coloniale demande instamment à tout vaisseau se trouvant à proximité d'un trou noir de quitter le secteur immédiatement. PROTOCOLE DE L'UNION : DISTORSION IMMÉDIATE
210	Nebula	Nébuleuse
211	Cloud of dust and gas. $$When in a nebula, sensor ranges are severely limited and long range communications are disabled. The Colonial Union urges ships to be vigilant when traveling through nebulas as they are often spots of increased raider and hijacker activity.	Nuage de poussière et de gaz. Lorsque vous êtes dans une nébuleuse, la portée des capteurs est sévèrement limitée et les communications à longue portée sont désactivées. L'Union coloniale demande aux vaisseaux d'être vigilants lorsqu'ils traversent des nébuleuses, car elles sont souvent le théâtre d'une activité accrue des raiders et des pirates.
212	Star	Étoile
213	Large sphere of burning gas. $$If a ship exits warp too close to a star, the ship may overheat and fires may begin to spawn. It is recommended to get reactor heat under control and warp out of the sector immediately. $$UNION PROTOCOL: WARP IMMEDIATELY	Grande sphère de gaz brûlant. Si un vaisseau sort de distorsion trop près d'une étoile, le vaisseau peut surchauffer et des incendies peuvent commencer à se déclarer. Il est recommandé de contrôler la chaleur du réacteur et de quitter le secteur immédiatement. PROTOCOLE D'UNION : DISTORSION IMMÉDIATE
214	More Topics	Plus de sujets
215	Outpost 448 is the main Colonial Union station in this galaxy. It is a major hub for trade and scientific research.	L'avant-poste 448 est la principale station de l'Union coloniale dans cette galaxie. C'est un centre important pour le commerce et la recherche scientifique.
216	Outpost 448	Avant-poste 448
217	The market division is located on the upper level of the station. Continue straight ahead to the central platform and take the first ramp on your right.	La division marché est située au niveau supérieur de la gare. Continuez tout droit jusqu'au quai central et prenez la première rampe sur votre droite.
218	Trade	Commerce
219	"An emergency protocol was recently carried out to ensure the continued safety of Outpost 448's inhabitants. There is no reason for concern; the situation has been resolved."	Un protocole d'urgence a récemment été mis en place pour assurer la sécurité des habitants de l'avant-poste 448. Il n'y a aucune raison de s'inquiéter, la situation a été résolue.
220	Destroyed Section of Station	Section détruite de la station
221	Since you've been granted access to the Command Center, you would know more about the Wasted Wing than I do. If you have any questions, you should consult a superior officer.	Puisque vous avez été autorisé à accéder au centre de commandement, vous devez en savoir plus que moi sur l'Aile perdue. Si vous avez des questions, vous devriez consulter un officier supérieur.
222	What, this sandwich? It's my lunch. Get your own.	Quoi, ce sandwich ? C'est mon déjeuner. Prends le tien.
223	Dehydrated Sandwich on Desk	Sandwich déshydraté sur le bureau
224	What do you want to know?	Que voulez-vous savoir ?
225	How can I help?	Comment puis-je aider ?
226	What do you need?	De quoi avez-vous besoin ?
227	Questions	Questions
228	Welcome to Colonial Union Outpost 448. Please ensure that you are not in possession of illicit items or cargo, as they will not be permitted in the Colonial Union zone. If you have questions about Outpost 448, I can answer them for you. Otherwise, enjoy your visit. Together, we survive.	Bienvenue à l'avant-poste 448 de l'Union coloniale. Veuillez vous assurer que vous n'êtes pas en possession d'objets ou de cargaisons illicites, car ils ne seront pas autorisés dans la zone de l'Union coloniale. Si vous avez des questions sur l'avant-poste 448, je peux y répondre pour vous. Sinon, profitez de votre visite. Ensemble, nous survivons.
229	I could really use a sandwich right about now. If you could get me one, I'd be very appreciative.	J'aurais vraiment besoin d'un sandwich en ce moment. Si vous pouviez m'en trouver un, j'apprécierais beaucoup.
230	Yes	Oui
231	Oh... Don't mind me then.	Oh... Ne faites pas attention à moi alors.
232	No	Non
233	â€¦I lost my papers. And my identification card. Donâ€™t mind me, Iâ€™m just waiting for another civilian ship to come by. Maybe I can get a ride back home... Do you think you could get me some food, by any chance?	J'ai perdu mes papiers. Et ma carte d'identité. Ne vous occupez pas de moi, j'attends juste qu'un autre vaisseau civil passe. Peut-être que je peux avoir un retour à la maison... Pensez-vous que vous pourriez me trouver de la nourriture, par hasard ?
234	Thank you. You're very generous. Take some credits for your troubles.	Merci. Vous êtes très généreux. Prends quelques crédits pour tes problèmes.
235	Hello again. Were you able to find a sandwich for me?	Rebonjour. Avez-vous pu trouver un sandwich pour moi ?
236	Thank you again for the sandwich. I'll just wait here for the next civilian ship.	Merci encore pour le sandwich. Je vais attendre ici le prochain vaisseau civil.
237	I wonder how much longer I'll have to wait for a civilian ship to stop by. I'm getting quite hungry.	Je me demande combien de temps je vais devoir attendre qu'un vaisseau civil s'arrête. Je commence à avoir faim.
238	Our crew is here at 448 to drop off a supply shipment. Unfortunately, there was a mix-up with some shipping logs. My brothers and I have been here longer than expected. Iâ€™m just ready to get back to our ship and leave for the next cargo run.	Notre équipe est ici au 448 pour déposer une cargaison de fournitures. Malheureusement, il y a eu une confusion avec certains registres d'expédition. Mes frères et moi sommes restés ici plus longtemps que prévu. Je suis juste prÃªt Ã retourner sur notre vaisseau et partir pour la prochaine cargaison.
239	Hey, if you find my other brother out there in the hub, tell him to hurry up and get back here.	Hé, si vous trouvez mon autre frère là-bas dans le hub, dites-lui de se dépêcher et de revenir ici.
